source_id,token_index,cited_source,label
303,6411,3,0
303,6431,1,0
303,6448,1,0
303,6477,1,0
303,6511,4,1
303,6604,4,1
303,6640,1,0
303,6680,1,0
303,6711,1,0
303,6729,1,0
303,6744,1,0
303,6761,1,0
303,6780,1,0
303,6803,1,1
303,6818,1,0
303,6840,1,0
303,6861,4,0
303,6880,4,0
303,6896,4,0
303,6933,4,0
303,6950,4,0
303,6983,6,0
303,7003,6,0
303,7029,6,0
303,7076,6,0
303,7102,6,0
303,7152,6,0
303,7188,3,1
303,7231,3,0
303,7263,3,0
303,7292,3,0
303,7312,3,0
303,7354,3,0
303,7372,3,0
308,16009,6,0
308,16054,13,0
308,16096,18,0
308,16157,18,0
308,16198,18,0
308,16262,19,0
308,16334,1,1
308,16369,19,0
308,16399,19,0
308,16473,18,1
308,16540,1,1
309,7576,7,0
309,7602,7,0
309,7641,7,0
309,7680,1,0
309,7718,1,0
309,7774,2,0
309,7804,2,0
309,7833,8,0
309,7872,8,0
309,7895,1,0
309,7919,1,0
309,7944,1,1
309,7968,1,0
309,8003,1,0
309,8026,2,1
309,8055,2,0
309,8084,7,0
309,8114,1,1
309,8156,1,0
309,8191,7,0
309,8226,7,0
309,8256,7,0
310,9454,4,0
310,9492,4,0
310,9522,5,1
310,9559,1,0
310,9598,1,0
310,9646,1,0
310,9678,1,0
310,9707,8,0
310,9746,8,0
310,9775,6,1
310,9816,5,0
310,9872,10,1
310,9911,10,1
310,9949,9,1
310,9985,9,1
310,10019,8,0
310,10052,8,0
310,10099,4,0
310,10128,5,0
310,10168,10,0
334,18861,1,0
334,18886,1,0
334,18915,1,0
334,18960,1,0
334,18999,2,1
334,19030,3,1
334,19055,3,1
334,19100,10,0
334,19124,10,0
334,19149,10,0
334,19171,10,0
334,19199,11,0
334,19231,11,0
334,19261,10,1
334,19291,10,0
334,19319,10,0
334,19363,10,0
334,19391,15,1
334,19423,19,1
334,19462,19,0
334,19502,24,0
334,19553,24,0
334,19587,24,0
334,19622,24,1
334,19648,24,1
334,19681,25,1
334,19719,1,1
334,19747,8,1
334,19777,1,0
334,19802,2,1
334,19844,1,0
334,19918,10,0
334,19965,10,0
334,20054,24,1
334,20111,2,1
335,8292,6,0
335,8326,5,1
335,8356,6,0
335,8397,6,0
335,8427,6,0
335,8466,5,0
335,8484,5,0
335,8508,5,1
335,8540,5,1
335,8558,5,1
335,8602,6,0
