source_id,token_index,cited_source,label
300,3713,3,0
300,3753,3,0
300,3789,5,0
300,3829,4,0
300,3871,4,1
300,3914,5,0
300,3953,5,0
300,3991,5,0
300,4034,5,0
300,4084,3,0
300,4118,4,0
300,4226,4,0
300,4454,5,1
308,6928,8,0
308,6956,9,0
308,6994,9,0
308,7049,9,0
308,7083,5,0
308,7114,5,0
308,7164,9,1
308,7196,9,1
308,7226,9,1
308,7261,5,1
308,7292,8,0
308,7332,9,0
308,7375,7,0
308,7405,8,1
308,7425,8,0
308,7448,9,1
308,7488,9,1
308,7517,9,0
308,7545,9,0
308,7574,8,1
308,7597,5,0
308,7625,8,1
308,7658,9,0
308,7690,9,0
309,6848,8,0
309,6890,8,0
309,6945,8,0
309,6972,8,0
309,6999,8,0
309,7058,8,0
309,7125,8,1
309,7172,7,1
309,7228,8,0
309,7258,8,0
309,7284,8,1
309,7334,7,0
309,7395,8,0
310,10210,1,1
310,10251,1,0
310,10292,1,0
310,10332,1,0
310,10385,1,0
310,10419,1,1
310,10455,1,0
310,10482,1,0
310,10535,1,1
310,10571,1,0
310,10602,1,1
310,10655,1,1
310,10694,1,1
310,10743,1,1
310,10779,1,1
334,6952,1,1
334,6996,1,0
334,7021,7,0
334,7050,1,0
334,7075,7,0
334,7109,7,0
334,7137,7,0
334,7163,7,0
334,7197,7,0
334,7234,8,0
334,7255,8,1
334,7282,8,1
334,7309,9,1
334,7331,10,1
334,7357,9,0
334,7464,1,0
334,7494,10,0
334,7531,10,1
343,4234,4,0
343,4259,1,0
343,4304,6,0
343,4345,6,0
343,4394,5,0
343,4427,5,0
343,4461,4,0
343,4477,4,0
343,4516,2,0
343,4552,2,0
343,4576,3,0
343,4609,1,0
343,4632,7,1
343,4695,7,1
343,4723,7,1
343,4751,1,0
343,4765,8,1
351,9404,1,1
351,9444,2,1
351,9472,2,0
351,9537,1,0
351,9573,1,0
351,9727,2,0
351,9769,7,1
351,9794,7,0
351,9829,10,0
351,9855,10,0
351,9880,10,0
352,3075,1,1
352,3108,4,0
352,3130,1,0
352,3167,5,0
352,3212,5,0
352,3234,5,0
352,3267,6,1
352,3327,6,0
352,3364,4,0
352,3389,4,0
352,3420,5,1
352,3444,2,0
352,3467,2,0
352,3494,6,1
352,3567,3,0
352,3598,3,0
352,3639,3,0
352,3667,7,0
352,3696,7,0
352,3713,7,0
352,3771,6,0
352,3801,6,0
352,3830,6,0
352,3856,6,0
365,6783,8,0
365,6823,4,0
365,6854,8,1
365,6896,1,0
365,6965,6,0
365,7037,9,1
365,7070,8,1
365,7128,7,0
365,7156,7,1
365,7217,6,1
365,7255,6,1
365,7339,9,0
365,7399,8,0
367,3917,7,0
367,3939,7,0
367,3968,7,0
367,4008,7,0
367,4043,7,0
367,4065,7,0
367,4101,7,0
367,4139,7,0
367,4187,7,0
367,4231,7,0
367,4246,7,0
367,4277,7,0
367,4300,7,0
367,4323,7,0
367,4344,7,0
367,4389,6,0
367,4407,6,0
367,4436,6,0
367,4461,2,0
367,4489,2,0
367,4531,2,1
367,4555,2,0
367,4570,2,0
367,4589,6,0
367,4633,2,0
367,4662,2,0
367,4682,2,0
367,4706,2,1
367,4747,2,1
367,4778,1,1
367,4827,1,0
367,4848,1,0
367,4878,3,0
367,4896,2,0
367,4927,6,0
372,4781,1,1
372,4816,1,0
372,4865,1,0
372,4893,3,0
372,4926,1,0
372,4960,1,0
372,5016,1,0
372,5065,2,1
372,5147,2,1
372,5166,1,0
372,5219,1,0
372,5267,4,0
372,5327,7,0
372,5371,8,1
372,5408,8,0
372,5444,9,0
372,5483,9,1
372,5538,1,0
372,5576,4,1
373,2584,1,0
373,2618,1,0
373,2650,1,0
373,2691,2,0
373,2720,3,0
373,2755,1,0
373,2789,1,0
373,2822,4,0
373,2858,5,1
373,2894,5,1
373,2923,5,0
373,2964,2,1
373,3007,2,0
373,3039,3,1
373,3079,3,0
373,3118,5,0
373,3156,5,1
373,3206,5,1
373,3245,5,0
377,4942,1,0
377,4972,1,0
377,5008,1,1
377,5054,1,1
377,5094,1,0
377,5116,1,0
377,5147,2,0
377,5177,3,0
377,5219,4,1
377,5242,4,1
377,5273,1,1
377,5302,1,1
377,5334,5,1
377,5355,4,1
377,5384,6,0
377,5419,2,1
377,5437,1,1
377,5461,1,1
377,5481,1,1
377,5509,6,0
377,5531,2,1
377,5582,6,0
377,5614,6,0
377,5657,6,1
377,5693,7,1
377,5726,5,1
380,4364,2,0
380,4392,2,0
380,4423,2,0
380,4456,2,0
380,4480,3,0
380,4505,2,0
380,4529,3,0
380,4556,4,1
380,4585,3,0
380,4609,4,0
380,4634,2,0
380,4692,4,0
380,4711,4,0
382,7573,7,1
382,7629,2,0
382,7667,6,0
382,7700,6,1
382,7732,6,1
382,7756,4,0
382,7790,4,0
382,7819,5,0
382,7849,5,1
382,7885,5,1
382,7920,5,1
382,7952,8,0
382,7985,2,0
382,8020,5,0
382,8044,7,1
382,8073,4,0
382,8107,7,1
382,8174,5,0
382,8193,5,0
382,8226,5,0
382,8264,5,0
382,8301,9,0
382,8331,6,1
382,8358,5,0
382,8392,5,0
382,8427,8,0
382,8454,8,1
382,8483,6,1
